NomFichier,MaxLoadFactor,insertins total,insertion duration total,insertion duration average,buckets,collision,empty buckets,largest buckets,smallest bucket,search total,found total,search duration,search average
12DirectoryInt,0.5,10000,0,0,26267,1677,17944,5,0,10000,10000,15625,1.5625
,0.5,1000000,2968923,2.96892,3721303,122140,2843443,5,0,1000000,1000000,1828207,1.82821
13DirectoryLong,0.5,10000,0,0,26267,1678,17945,5,0,10000,10000,31251,3.1251
,0.5,1000000,2328222,2.32822,3721303,123377,2844680,5,0,1000000,1000000,1390682,1.39068
12DirectoryPolILj2EE,0.5,10000,15626,1.5626,26267,1859,18126,5,0,10000,10000,15625,1.5625
,0.5,1000000,7297232,7.29723,3721303,969941,3691244,100,0,1000000,1000000,6776532,6.77653
12DirectoryPolILj31EE,0.5,10000,31254,3.1254,26267,1718,17985,4,0,10000,10000,0,0
,0.5,1000000,1906345,1.90634,3721303,122505,2843808,6,0,1000000,1000000,1046919,1.04692
12DirectoryPolILj37EE,0.5,10000,0,0,26267,1678,17945,5,0,10000,10000,0,0
,0.5,1000000,1750104,1.7501,3721303,122898,2844201,7,0,1000000,1000000,781288,0.781288
12DirectoryStl,0.5,10000,15626,1.5626,26267,1730,17997,6,0,10000,10000,31252,3.1252
,0.5,1000000,1657343,1.65734,3721303,123173,2844476,5,0,1000000,1000000,796916,0.796916
15DirectorySha256,0.5,10000,0,0,26267,1637,17904,4,0,10000,10000,15627,1.5627
,0.5,1000000,3265803,3.2658,3721303,122847,2844150,6,0,1000000,1000000,2390723,2.39072
13DirectoryCity,0.5,10000,15625,1.5625,26267,1690,17957,5,0,10000,10000,0,0
,0.5,1000000,1906356,1.90636,3721303,123192,2844495,6,0,1000000,1000000,1000042,1.00004
